Date,Open,High,Low,Close,Volume
20-Nov-14,72.80,73.99,72.51,73.60,19154862
19-Nov-14,74.01,74.54,73.11,73.33,25441163
18-Nov-14,74.45,74.80,73.90,74.34,20696643
17-Nov-14,74.88,75.66,73.88,74.24,28701191
14-Nov-14,74.27,74.93,74.04,74.88,19476878
13-Nov-14,74.74,75.24,73.64,74.25,26448451
12-Nov-14,74.28,75.14,73.54,74.72,26536609
11-Nov-14,74.95,74.98,74.03,74.61,18735123
10-Nov-14,75.36,75.48,74.61,75.00,21575126
7-Nov-14,75.39,75.86,75.02,75.60,20774381
6-Nov-14,74.89,75.60,74.31,75.26,21383194
5-Nov-14,76.51,76.80,74.42,74.83,35912588
4-Nov-14,74.23,75.77,73.65,75.76,39326471
3-Nov-14,75.47,75.52,73.70,73.88,40727330
31-Oct-14,74.93,75.70,74.45,74.99,44544325
30-Oct-14,75.05,75.35,72.90,74.11,83269554
29-Oct-14,75.45,76.88,74.78,75.86,106119520
28-Oct-14,80.18,81.16,79.57,80.77,74211768
27-Oct-14,80.74,80.80,79.76,80.28,30168921
24-Oct-14,80.20,80.82,79.32,80.67,32247520
23-Oct-14,79.38,80.63,79.01,80.04,35055800
22-Oct-14,78.82,79.85,78.01,78.37,41862393
21-Oct-14,77.56,78.74,77.15,78.69,32252403
20-Oct-14,75.60,77.09,75.38,76.95,34701260
17-Oct-14,74.23,76.00,73.75,75.95,76341638
16-Oct-14,70.79,73.35,70.58,72.63,53529459
15-Oct-14,71.69,73.80,70.32,73.21,61528317
14-Oct-14,74.00,74.18,72.05,73.59,50299288
13-Oct-14,73.23,74.78,72.52,72.99,43937638
10-Oct-14,75.59,76.50,72.76,72.91,52146162
9-Oct-14,77.28,77.76,75.85,75.91,32487174
8-Oct-14,76.18,77.71,75.10,77.52,32975514
7-Oct-14,77.05,77.95,76.24,76.29,25317488
6-Oct-14,77.19,77.89,76.85,77.56,25729191
3-Oct-14,77.76,78.06,77.26,77.44,23340173
2-Oct-14,76.57,77.48,75.64,77.08,36487612
1-Oct-14,78.78,78.82,75.90,76.55,55090157
30-Sep-14,79.35,79.71,78.60,79.04,35899444
29-Sep-14,78.12,79.20,77.91,79.00,34030635
